epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,2.1567285259213067,0.16194690265486725,1.8708422436731023,0.26501766784452296,181.66684246063232
2,1.8407409309285931,0.27079646017699116,1.6150893272022477,0.3286219081272085,165.10620427131653
3,1.65945749135144,0.35221238938053095,1.5705142484536863,0.3710247349823322,154.5274965763092
4,1.5850202895898735,0.37787610619469025,1.488473781006075,0.4098939929328622,136.03925824165344
5,1.5881549417445089,0.3743362831858407,1.5086944006357093,0.38869257950530034,95.80732941627502
6,1.5401777659897256,0.4,1.3952711605772956,0.4840989399293286,107.63902831077576
7,1.569324166373869,0.3973451327433628,1.3804037280301744,0.48056537102473496,81.3841552734375
8,1.6299821891615875,0.37610619469026546,1.5831366036047785,0.42402826855123676,77.07466530799866
9,1.4437923532671633,0.43097345132743364,1.5257675993147672,0.43109540636042404,80.60610580444336
10,1.8159499311869123,0.31150442477876106,1.68808275819246,0.31802120141342755,85.27832078933716
11,1.6208011933132611,0.37787610619469025,1.361790167990506,0.49823321554770317,162.9068319797516
12,1.4597523168124984,0.4327433628318584,1.2843481218014505,0.519434628975265,316.28486037254333
13,1.3778770301194319,0.4778761061946903,1.445039188061502,0.4840989399293286,307.67837381362915
14,1.4348337491001704,0.4504424778761062,1.4482550102914602,0.43462897526501765,314.690806388855
15,1.318696200320151,0.5035398230088496,1.2258395984400288,0.5123674911660777,335.26862931251526
16,1.249468499158336,0.5221238938053098,1.2916112127236679,0.5159010600706714,351.0209107398987
17,1.3305879913600145,0.49911504424778763,1.101128745837262,0.5865724381625441,350.6597044467926
18,1.4672829718716376,0.4353982300884956,1.4244714996418768,0.45229681978798586,359.9843029975891
19,1.3939745240506873,0.4663716814159292,1.2046494589256314,0.5406360424028268,366.76354002952576
20,1.2166990692636608,0.5247787610619469,1.1235640377543419,0.558303886925795,340.8970055580139
