label,precision,recall,f1,support
0,0.6428571428571429,0.3103448275862069,0.4186046511627907,29
1,0.40425531914893614,0.8260869565217391,0.5428571428571428,23
2,0.6666666666666666,0.5517241379310345,0.6037735849056604,29
3,0.6,0.6666666666666666,0.631578947368421,27
4,0.2,0.3181818181818182,0.24561403508771928,22
5,0.19672131147540983,0.3870967741935484,0.2608695652173913,31
6,0.425,0.5666666666666667,0.4857142857142857,30
7,0.3076923076923077,0.14814814814814814,0.2,27
8,0.29411764705882354,0.5769230769230769,0.38961038961038963,26
9,0.32142857142857145,0.5625,0.4090909090909091,32
10,0.0,0.0,0.0,27
11,0.6857142857142857,0.8,0.7384615384615385,30
12,0.25,0.19230769230769232,0.21739130434782608,26
13,0.5,0.6818181818181818,0.5769230769230769,22
14,0.55,0.5,0.5238095238095238,22
15,0.5263157894736842,0.6451612903225806,0.5797101449275363,31
16,0.3333333333333333,0.06060606060606061,0.10256410256410256,33
17,0.782608695652174,0.6666666666666666,0.72,27
18,0.15625,0.25,0.19230769230769232,20
19,0.2857142857142857,0.3076923076923077,0.2962962962962963,26
20,0.9411764705882353,0.7272727272727273,0.8205128205128205,22
21,0.21348314606741572,0.6785714285714286,0.3247863247863248,28
22,0.45454545454545453,0.17857142857142858,0.2564102564102564,28
23,0.23711340206185566,0.696969696969697,0.35384615384615387,33
24,0.4782608695652174,0.5,0.4888888888888889,22
25,0.2222222222222222,0.06666666666666667,0.10256410256410256,30
26,0.5185185185185185,0.4375,0.4745762711864407,32
27,0.20408163265306123,0.45454545454545453,0.28169014084507044,22
28,0.2,0.36,0.2571428571428571,25
29,0.5,0.4,0.4444444444444444,25
30,0.09090909090909091,0.04,0.05555555555555555,25
31,0.5,0.4074074074074074,0.4489795918367347,27
32,0.875,0.5,0.6363636363636364,28
33,0.25925925925925924,0.2692307692307692,0.2641509433962264,26
34,0.42857142857142855,0.32142857142857145,0.3673469387755102,28
35,0.5652173913043478,0.43333333333333335,0.49056603773584906,30
36,0.8888888888888888,0.9230769230769231,0.9056603773584906,26
37,0.6363636363636364,0.3181818181818182,0.42424242424242425,22
38,0.5,0.13793103448275862,0.21621621621621623,29
39,0.55,0.44,0.4888888888888889,25
40,0.35294117647058826,0.24,0.2857142857142857,25
41,0.41304347826086957,0.5757575757575758,0.4810126582278481,33
42,0.18181818181818182,0.48,0.26373626373626374,25
43,0.6818181818181818,0.46875,0.5555555555555556,32
44,0.4166666666666667,0.21739130434782608,0.2857142857142857,23
45,0.4090909090909091,0.75,0.5294117647058824,24
46,0.9583333333333334,0.92,0.9387755102040817,25
47,0.8387096774193549,0.896551724137931,0.8666666666666667,29
48,0.38461538461538464,0.35714285714285715,0.37037037037037035,28
49,0.65625,0.84,0.7368421052631579,25
50,0.42105263157894735,0.3076923076923077,0.35555555555555557,26
51,0.6666666666666666,0.08,0.14285714285714285,25
52,0.11363636363636363,0.2,0.14492753623188406,25
53,0.5454545454545454,0.4444444444444444,0.4897959183673469,27
54,0.375,0.13636363636363635,0.2,22
55,0.3333333333333333,0.15384615384615385,0.21052631578947367,26
56,0.32142857142857145,0.391304347826087,0.35294117647058826,23
57,0.25,0.08695652173913043,0.12903225806451613,23
58,0.5,0.8484848484848485,0.6292134831460674,33
59,1.0,0.06666666666666667,0.125,30
60,0.6666666666666666,0.8484848484848485,0.7466666666666667,33
61,0.37037037037037035,0.3225806451612903,0.3448275862068966,31
62,0.6829268292682927,0.875,0.7671232876712328,32
63,0.5769230769230769,0.7142857142857143,0.6382978723404256,21
64,0.7027027027027027,0.8387096774193549,0.7647058823529411,31
65,0.4583333333333333,0.5,0.4782608695652174,22
66,0.23255813953488372,0.5,0.31746031746031744,20
67,0.3793103448275862,0.36666666666666664,0.3728813559322034,30
68,0.3448275862068966,0.4,0.37037037037037035,25
69,0.7083333333333334,0.85,0.7727272727272727,20
70,0.3235294117647059,0.34375,0.3333333333333333,32
71,0.8125,0.65,0.7222222222222222,20
72,0.1,0.18181818181818182,0.12903225806451613,22
73,0.6666666666666666,0.27586206896551724,0.3902439024390244,29
74,0.36363636363636365,0.16666666666666666,0.22857142857142856,24
75,0.425,0.6296296296296297,0.5074626865671642,27
76,0.3333333333333333,0.18518518518518517,0.23809523809523808,27
77,0.38095238095238093,0.25,0.3018867924528302,32
78,0.3125,0.1724137931034483,0.2222222222222222,29
79,0.7142857142857143,0.20833333333333334,0.3225806451612903,24
80,0.4166666666666667,0.18518518518518517,0.2564102564102564,27
81,0.3333333333333333,0.05,0.08695652173913043,20
82,0.625,0.45454545454545453,0.5263157894736842,22
83,0.625,0.3333333333333333,0.43478260869565216,30
84,0.6451612903225806,0.7407407407407407,0.6896551724137931,27
85,0.2631578947368421,0.45454545454545453,0.3333333333333333,22
86,0.3333333333333333,0.13043478260869565,0.1875,23
87,0.2857142857142857,0.24,0.2608695652173913,25
88,0.16666666666666666,0.19230769230769232,0.17857142857142858,26
89,0.1282051282051282,0.17857142857142858,0.14925373134328357,28
90,0.42857142857142855,0.45,0.43902439024390244,20
91,0.3225806451612903,0.30303030303030304,0.3125,33
92,0.4444444444444444,0.15384615384615385,0.22857142857142856,26
93,0.3333333333333333,0.16666666666666666,0.2222222222222222,24
94,0.5789473684210527,0.4074074074074074,0.4782608695652174,27
95,0.0,0.0,0.0,21
96,0.0,0.0,0.0,23
97,0.25,0.28,0.2641509433962264,25
98,0.6428571428571429,0.6923076923076923,0.6666666666666666,26
99,0.7407407407407407,0.6666666666666666,0.7017543859649122,30
100,0.6,0.5769230769230769,0.5882352941176471,26
