epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,2.1646286040280773,0.1654867256637168,1.7416131125743313,0.3745583038869258,38.42510461807251
2,1.799331879193804,0.30973451327433627,1.6275030719939054,0.392226148409894,38.55535531044006
3,1.7087578146858553,0.34424778761061947,1.467643362052028,0.4452296819787986,39.30165362358093
4,1.5960442009225355,0.3920353982300885,1.4908481132857792,0.43462897526501765,39.269453287124634
5,1.602088374585177,0.3663716814159292,1.5109579331462037,0.3710247349823322,39.56244492530823
6,1.560398312374554,0.38761061946902653,1.4379966288489083,0.4204946996466431,39.82660889625549
7,1.5296455104794122,0.42212389380530974,1.479012945515528,0.4664310954063604,39.54764676094055
8,1.4658169533299135,0.42035398230088494,1.4125168770025138,0.4098939929328622,39.91552948951721
9,1.4000836087539132,0.46814159292035395,1.4283253034517538,0.49469964664310956,39.20872139930725
10,1.3399441832989718,0.4982300884955752,1.6655144261808361,0.4452296819787986,38.665467977523804
11,1.3608050352704208,0.4654867256637168,1.3751111637155917,0.5265017667844523,38.32322669029236
12,1.3215521364085443,0.49380530973451325,1.3447523032818582,0.508833922261484,38.48224234580994
13,1.2943129090081273,0.5176991150442478,1.156492443051018,0.5618374558303887,39.073960065841675
14,1.2161591065668427,0.5292035398230088,1.2695167612271259,0.5123674911660777,38.14754247665405
15,1.2677875527238425,0.511504424778761,1.2969958546304872,0.48056537102473496,38.242053508758545
16,1.2562797635002474,0.5238938053097345,1.1128897666931152,0.5830388692579506,38.31241512298584
17,1.1534185955482246,0.5637168141592921,1.1833078739078644,0.5865724381625441,37.799301624298096
18,1.1538644178778725,0.5654867256637168,1.007318067045178,0.6289752650176679,38.60468053817749
19,1.160318021858688,0.5707964601769911,1.166139525154033,0.5618374558303887,37.841949462890625
20,1.2148993053267487,0.5283185840707965,1.2272959530564163,0.568904593639576,38.31896162033081
