label,precision,recall,f1,support
10,0.0,0.0,0.0,27
16,0.3333333333333333,0.06060606060606061,0.10256410256410256,33
25,0.2222222222222222,0.06666666666666667,0.10256410256410256,30
59,1.0,0.06666666666666667,0.125,30
89,0.1282051282051282,0.17857142857142858,0.14925373134328357,28
88,0.16666666666666666,0.19230769230769232,0.17857142857142858,26
7,0.3076923076923077,0.14814814814814814,0.2,27
55,0.3333333333333333,0.15384615384615385,0.21052631578947367,26
38,0.5,0.13793103448275862,0.21621621621621623,29
12,0.25,0.19230769230769232,0.21739130434782608,26
