label,precision,recall,f1,support
0,0.7058823529411765,0.4444444444444444,0.5454545454545454,27
1,0.5806451612903226,0.5454545454545454,0.5625,33
2,0.7073170731707317,0.9666666666666667,0.8169014084507042,30
3,0.84,0.7,0.7636363636363637,30
4,0.40384615384615385,0.75,0.525,28
5,0.48148148148148145,0.5,0.49056603773584906,26
6,0.7307692307692307,0.7037037037037037,0.7169811320754716,27
7,0.7222222222222222,0.5,0.5909090909090909,26
8,0.75,0.6,0.6666666666666666,30
9,0.8636363636363636,0.7307692307692307,0.7916666666666666,26
